бюяйн йпзойюрю
жберюм бкюднбяйх
елхк вемднб
рнлю гдпюбйнб	
бхкх йюбюкдфхеб
ъбнп йхпхм
кчанлхп люкйнбяйх	
йхпхк люпхвйнб
юрюмюя оемеб
лхкемю якюбнбю
ухкдю йюгюяъм
лхпнякюбю йюжюпнбю
кчанлхп люкйнбяйх
яретйю нмхйъм
йюлекхъ рнднпнбю
кхюмю юмрнмнбю
оеръ асчйкхебю
лхуюхк аеквеб
яретйю аепнбю
йхвйю андспнбю
пняхжю анпдфхебю
беяекемю пюдебю
яретюм бнпнмнб
пняхжю цюмебю
нпкхм цнпюмнб
анпхякюб цпзмвюпнб
анпхя цсдфсмнб
деъм медеквеб
елхк дхлхрпнб
йпхярхмю дхлхрпнбю	
рнмх дхлхрпнбю
анъм хбюмнб
кею хбюмнбю
кхкх хбюмнбю
лхлх хбюмнбю
анцдюмю йюпюднвебю
яхкбхъ йюжюпнбю
пняхжю йхпхкнбю
ахяеп йхпнб
ценпцх йнпднб
пслъмю йнжебю
беяекхм люпхмнб
бюяхк мюидемнб
анийн медеквеб	
люпхъ меийнбю
люъ меьйнбю
лхлх мхйнкнбю
мекх пюмцекнбю
анцдюм рнлнб
йюръ тхкхонбю
люпцюпхрю упюмнбю
ценпцх упхярнб
инпдюмйю упхярнбю
оюью упхярнбю
йпюяхлхп юбпюлнб
акюцнбеяр юпцхпнб
ябернякюб юпцхпнб
аекнякюбю
янмъ бюях
днапхм бейхкнб
псьх бхдхмкхеб
йюлем бндемхвюпнб
рнднп цюдфюкнб
цюкхмю йспднбю
цпютю
ден
деъм медеквеб
мерх	
ценпцх дчкцепнб
кчях дъйнбяйю
яберкю хбюмнбю
люпхъ хкхебю
инюммю дпюцмебю
ъбнп йхпхм
лхпн
анийн медеквеб
нпкхм оюбкнб
оеръ оюбкнбю
мекх оерйнбю
хяйпем оежнб
люпхюмю ононбю
бемерю пюмцекнбю
яюмрпю
ярюмхякюб якюмеб
хпхмю ткнпхм
дхвн упхярнб
ябернгюп упхярнб
мебемю жнмебю
лсярютю вюсьеб
бюмъ ыепебю
